STATENAM,YEAR,sum(AWHEAT),sum(ARICE),sum(AMAIZE),sum(AJOWAR),sum(ABAJRA),sum(ASUGAR),sum(APOTATO),sum(AGNUT),sum(ABARLEY),sum(ATOBAC),sum(AGRAM),sum(ATUR),sum(ARAGI),sum(ASESAMUM),sum(ARMSEED),sum(ACOTTON),sum(AOPULS),sum(ASOY),sum(ASUNFLWR),sum(AJUTE)
TAMIL_NADU,1958,0,2272.6,6.3,786.3,500.9,54.85,0,808.21,0,14.51,1.8,122.249,0,152.57,0,404.66,420.54,0,0,0
UTTAR_PRADESH,1958,3673.848,3969.134,1073.875,912.284,1078.94,1111.162,104.063,193.451,1768.58,0,2722.045,516.353,0,80.748,131.519,0,1368.727,0,0,14.661
KARNATAKA,1958,310.1,1000,10.4,2796.3,517.4,58.92,0,943.58,0,35.91,154.96,401.276,0,0,0,1076.35,290.7,0,0,0
MADHYA_PRADESH,1958,2799.6,3980.8,452.6,1944.2,177.7,34.41,28.759,452.95,146.964,4.67,1491.6,486.501,0,362.17,0,852.84,1087.82,0,0,0
RAJASTHAN,1958,1182.4,78.7,579.2,1102.8,4001.1,19.7,0,67,535.9,5.9,1588.6,23.41,0,490.6,300.8,240.7,17.9,0,0,0
PUNJAB,1958,1479.23,200.5,325.544,28.865,166.211,107.309,7.151,55.231,89.961,0.638,1095.553,31.834,0,14.999,98.167,490.268,81.317,0,0,0
ORISSA,1958,6.312,3910.521,21.974,7.418,3.199,22.298,9.834,22.581,0,4.094,16.568,13.436,66.733,95.02,32.861,7.939,0,0,0,39.604
MAHARASHTRA,1958,859.7,1255.9,0,5951.2,1800.7,134.1,0,1161.2,231,21.8,425.9,758.134,0,146.4,0,2566.7,564.5,0,0,0
RAJASTHAN,1959,1227.2,100.2,608.4,1080.9,3801.2,28,0,85.6,554.7,6.7,1719,23.41,0,554.6,206.2,236.7,25.5,0,0,0
HARYANA,1959,582.647,130.603,122.444,259.719,714.755,116.806,3.151,7.472,119.479,0.835,1399.836,27.914,0,2.374,138.719,89.403,125.089,0,0,0
MADHYA_PRADESH,1959,3169.9,4071.6,459.4,1834.7,163.9,40.01,28.759,445.24,146.964,5.2,1634.1,486.501,0,354.42,0,716.18,1090.23,0,0,0
BIHAR,1959,652.846,4970.913,802.684,0,0,179.271,70.518,0,435.526,18.328,578.413,204.684,202.324,32.954,93.685,0,0,0,0,161.441
UTTAR_PRADESH,1959,3698.888,3984.162,1081.266,911.303,1076.567,1191.4,113.566,185.193,1756.286,0,2693.795,516.353,0,76.956,120.547,0,1332.029,0,0,13.235
WEST_BENGAL,1959,48.3663978,4419.272064,56.3,0,0,32.8275302,57.589068,0,64.6153851,15.2,297.6518151,0,0,0,108.5627525,0,0,0,0,291.86
ANDHRA_PRADESH,1959,21.3,2725.4,185.2,2589.5,630.1,72.62,0,815.67,0,130.93,101.58,237.366,0,197.92,0,274.45,1211.74,0,0,0
GUJARAT,1959,629.4,572.5,200,1347.2,1354,17.9,0,1896.5,9.4,97.5,179.8,316.667,0,104.8,54,1518.2,80.7,0,0,0
ORISSA,1959,6.557,4287.512,22.338,7.499,4.383,24.038,9.996,23.795,0,4.215,19.683,14.083,67.077,89.708,34.72,7.373,0,0,0,30.757
TAMIL_NADU,1959,0,2315.3,10.2,771.3,520.1,58.89,0,835.9,0,17.22,1.68,122.249,0,115.06,0,406.14,435.13,0,0,0
MAHARASHTRA,1959,961.2,1271.7,0,5943.8,1736.2,133.1,0,1136.6,228.6,27.6,459,758.134,0,117.6,0,2492.1,533.9,0,0,0
PUNJAB,1959,1432.022,217.491,321.739,13.685,153.365,120.602,7.152,53.581,77.703,0.545,1098.421,31.834,0,10.88,88.873,447.801,80.768,0,0,0
KARNATAKA,1959,294.5,1010.8,11.7,2885.6,490.5,63.35,0,964.26,0,40.06,153.81,401.276,0,0,0,1032.1,288.43,0,0,0
PUNJAB,1960,1438.084,228.301,331.642,31.296,172.998,133.598,6.89,63.756,66.934,0.632,945.119,31.834,0,8.57,116.557,458.006,78.717,0,0,0
ORISSA,1960,6.843,3783.733,22.379,7.054,5.407,25.495,10.481,24.24,0,4.297,20.272,14.326,66.971,92.47,45.064,7.495,0,0,0,38.615
UTTAR_PRADESH,1960,3750.178,4020.305,1043.701,894.359,1083.582,1329.025,107.658,210.976,1756.806,0,2552.441,516.353,0,49.471,117.552,0,1332.147,0,0,13.078
HARYANA,1960,614.874,159.267,126.077,285.759,753.325,134.303,3.186,7.658,108.981,0.82,1444.99,27.914,0,2.09,143.671,82.671,117.838,0,0,0
RAJASTHAN,1960,1067,99.3,648.9,1035.8,4617.4,41.1,0,102.6,474.4,5.8,1348.1,23.41,0,421,204.3,201,25,0,0,0
ANDHRA_PRADESH,1960,18.2,2602,181.2,2714.5,616.4,79.04,0,794.51,0,129.08,89.89,237.366,0,187.91,0,312.85,1135.92,0,0,0
WEST_BENGAL,1960,34.9817819,4606.52143,56.3,0,0,40.1109316,58.5364364,0,38.5020233,17.4,175.4251009,0,0,0,88.37247,0,0,0,0,291.495
MADHYA_PRADESH,1960,3088.5,4120.2,469.3,2100.6,174.6,50.31,28.759,395.54,146.964,4.24,1492.6,486.501,0,304.56,0,766.05,1129.65,0,0,0
GUJARAT,1960,357.7,533.2,222.5,1315,1434.9,26,0,1981.6,4.8,92.6,57.7,316.667,0,106,37.3,1829.7,84.9,0,0,0
TAMIL_NADU,1960,0,2517.7,6.8,774.2,488.8,81.11,0,870.85,0,19.61,1.34,122.249,0,127.78,0,396.01,425.13,0,0,0
MAHARASHTRA,1960,906.9,1296.6,0,6283.8,1635.1,155.5,0,1082.5,229.8,25.1,401.7,758.134,0,128.5,0,2499.5,530.3,0,0,0
KARNATAKA,1960,324.1,1028.6,11.4,2969.5,499.8,72.25,0,914.99,0,38.55,157.99,401.276,0,0,0,983.52,296.26,0,0,0
BIHAR,1960,651.65,5319.768,805.078,0,0,185.494,75.629,0,393.296,15.677,541.882,186.349,210.65,27.376,87.874,0,0,0,0,146.677
HARYANA,1961,645.302,169.366,109.196,272.446,713.913,139.611,3.21,8.529,103.077,0.807,1338.769,27.914,0,1.991,193.338,93.131,97.552,0,0,0
PUNJAB,1961,1465.396,226.952,328,29.735,167.526,130.181,6.897,68.062,72.121,0.505,930.612,31.834,0,12.643,99.844,497.529,65.616,0,0,0
ANDHRA_PRADESH,1961,19.9,3017.5,204.1,2658.3,648,83.48,0,772.83,0,148.25,90.35,237.366,0,237.22,0,346.65,1284.8,0,0,0
MADHYA_PRADESH,1961,3171.2,4167.4,470.3,1952.9,165.9,54.53,28.759,437.64,146.964,4.63,1597,486.501,0,293.77,0,906.21,1113.89,0,0,0
RAJASTHAN,1961,1282.1,101.1,679.4,1212.8,4386,33.9,0,120.7,557.3,5.9,1613.3,23.41,0,514.1,266.6,242.2,23.9,0,0,0
WEST_BENGAL,1961,45.6659925,4421.22836,52.4,0,0,34.4672069,57.4068851,0,60.9311738,16.5,229.9999952,0,0,0,115.1417002,0,0,0,0,463.123
TAMIL_NADU,1961,0,2537.9,5.6,768,488.4,75.6,0,887.63,0,17.17,2.06,122.249,0,110.98,0,391.86,416.73,0,0,0
GUJARAT,1961,420.9,563,218.4,1307.3,1439.4,22,0,2265.2,6.6,92.1,129.8,316.667,0,100.3,34.6,1724.6,94,0,0,0
UTTAR_PRADESH,1961,3913.62,4080.303,1075.37,855.956,969.091,1362.699,108.131,259.124,1795.771,0,2576.099,516.353,0,60.236,158.418,0,1411.438,0,0,24.338
ORISSA,1961,9.37,4074.824,33.834,7.848,5.412,25.168,11.007,26.068,0,7.372,22.215,15.378,71.872,92.753,43.907,7.414,0,0,0,46.135
BIHAR,1961,698.985,5091.364,819.08,0,0,197.175,72.664,0,408.791,17.32,534.893,166.233,197.539,27.54,117.73,0,0,0,0,228.617
MAHARASHTRA,1961,907.5,1316,0,6153.9,1687.6,154.4,0,1117.3,224.4,23.8,403.4,758.134,0,118.5,0,2691.3,561.7,0,0,0
KARNATAKA,1961,309.8,1057.6,12.7,2949.6,517.6,77.69,0,900.24,0,39.54,155.81,401.276,0,0,0,994.49,297.67,0,0,0
BIHAR,1962,715.552,5197.362,836.103,0,0,162.229,81.317,0,406.739,16.965,512.15,160.545,187.396,27.687,106.34,0,0,0,0,198.244
TAMIL_NADU,1962,0,2665.9,8,744.8,470.8,55.26,0,944.75,0,18.61,2.37,122.249,0,130.21,0,376.25,393.3,0,0,0
MADHYA_PRADESH,1962,3238.3,4232.2,485.9,2086.9,191.5,55.99,28.759,488,146.964,4.06,1447.9,486.501,0,333.46,0,679.89,1094.85,0,0,0
ORISSA,1962,10.194,4436.33,31.496,7.171,4.949,32,18.009,31.089,0,7.299,48.347,33.465,65.572,110.617,52.366,8.503,0,0,0,45.22
WEST_BENGAL,1962,48.9291502,4446.64538,54.8,0,0,31.1971655,66.1372469,0,48.5020239,15.2,185.8299626,0,0,0,95.1214561,0,0,0,0,434.714
UTTAR_PRADESH,1962,3843.945,4158.353,1066.574,884.611,1020.852,1261.75,122.164,272.169,1653.21,0,2459.102,516.353,0,66.734,148.668,0,1466.586,0,0,21.348
ANDHRA_PRADESH,1962,19.5,3094.5,206.1,2646.5,609.7,78.91,0,889.54,0,153.93,86.36,237.366,0,230.6,0,369.63,1303.35,0,0,0
KARNATAKA,1962,317.9,1085.6,13.6,3050.4,526.4,74.15,0,869.51,0,37.99,131.98,401.276,0,0,0,995.64,280.8,0,0,0
HARYANA,1962,668.354,167.681,131.304,293.706,670.397,130.12,4.173,9.187,90.518,0.983,1355.798,27.914,0,2.061,250.088,103.438,93.955,0,0,0
MAHARASHTRA,1962,915.9,1284.6,0,5926.9,1644.4,152.6,0,1075.1,216,27.5,408.7,758.134,0,115.2,0,2719.6,542.3,0,0,0
GUJARAT,1962,361.6,544.8,231.4,1315.1,1450.2,19.8,0,2344.4,5.3,82.1,95.1,316.667,0,103.4,36,1744.7,88.4,0,0,0
PUNJAB,1962,1559.238,247.69,363.413,35.401,169.427,111.622,10.161,76.998,66.238,0.392,922.622,31.834,0,17.041,100.559,486.98,61.269,0,0,0
RAJASTHAN,1962,1245,116,701.9,1182.1,4162,32.5,0,181,478.8,5.2,1532.3,23.41,0,626,320,195.8,24.2,0,0,0
MADHYA_PRADESH,1963,3322.4,4221.1,486.5,2016.3,192.8,53.15,28.759,428.94,146.964,3.46,1597.1,486.501,0,332.58,0,760.77,1153.25,0,0,0
WEST_BENGAL,1963,54.5080978,4535.24897,54.6,0,0,32.5101213,65.6720639,0,39.5,14.9,157.6,0,0,0,87.1,0,0,0,0,446.126
PUNJAB,1963,1542.653,254.876,357.718,34.634,135.514,116.082,9.338,104.697,56.737,0.355,865.933,31.834,0,11.004,100.29,529.064,54.608,0,0,0
RAJASTHAN,1963,1129.2,113.6,674.6,980.3,4323.3,29.5,0,193.4,420.4,6.3,1523.8,23.41,0,484.2,305.1,234,24,0,0,0
ANDHRA_PRADESH,1963,20.3,2990.5,202,2605.9,587.1,104.91,0,975.63,0,198.66,84.58,237.366,0,204.39,0,423.4,1290.45,0,0,0
UTTAR_PRADESH,1963,3746.665,4255.48,1079.094,889.112,1013.103,1228.647,116.216,297.88,1558.573,0,2599.934,516.353,0,76.238,148.779,0,1475.065,0,0,18.931
KARNATAKA,1963,311.5,1108.6,14.1,3017.4,541.5,80.76,0,891.84,0,36.57,144.45,401.276,0,0,0,1031.04,304.25,0,0,0
ORISSA,1963,15.272,4308.789,13.739,7.082,4.961,40.465,29.433,56.923,0,8.369,26.627,40.392,77.386,103.4,59.966,1.579,0,0,0,54.982
