STATENAM,YEAR,sum(AWHEAT),sum(ARICE),sum(AMAIZE),sum(AJOWAR),sum(ABAJRA),sum(ASUGAR),sum(APOTATO),sum(AGNUT),sum(ABARLEY),sum(ATOBAC),sum(AGRAM),sum(ATUR),sum(ARAGI),sum(ASESAMUM),sum(ARMSEED),sum(ACOTTON),sum(AOPULS),sum(ASOY),sum(ASUNFLWR),sum(AJUTE)
PUNJAB,1968,2072.602,338.258,459,3.795,191.639,146.209,9.728,226.5,88.4,0.191,326,31.834,0,11.254,67.6,380.583,49.44,0,0,0
UTTAR_PRADESH,1968,4750.126,4140.566,1443.806,833.92,987.801,1202.849,167.87,357.95,1442.409,0,2188.035,516.353,0,79.0845411,179.359458,0,1183.157,0,0,11.243
BIHAR,1968,1100.701,5407.391,953.895,0,0,151.553,109.344,4.15,292.275,14.234,238.904,171.265,180.44,34.114,79.257,0,0,0,0,90.261
MADHYA_PRADESH,1968,3008.1,4282.8,581.9,2364.5,240.2,55.93,28.759,495.56,146.964,2.45,1493.1,486.501,0,384.8,0,680.85,1300.2,0,0,0
ORISSA,1968,15.173,4221.581,67.842,13.927,1.304,36.611,28.73,70.729,0,12.965,15.186,34.451,153.442,99.235,63.686,0.324,0,0,0,41.936
TAMIL_NADU,1968,0,2362.8,14,700.1,457.6,171.49,0,930.53,0,15.52,3.77,122.249,0,108.39,0,275.51,435.73,0,0,0
RAJASTHAN,1968,1159,129,796,956,4549,38,0,294,488,5.8,999,23.41,0,525,121,263,26,0,0,0
MAHARASHTRA,1968,839.4,1326.8,45.9,5845.3,2034.4,201.2,0,926.7,212.7,10.9,354.9,758.134,0,154.6,0,2716.2,614.2,0,0,0
GUJARAT,1968,493.5,495.5,268.2,1358.8,1840.9,43.6,0,1874.6,6.4,86.5,42.3,316.667,0,113.8,34.7,1711,91.7,0,0,0
WEST_BENGAL,1969,147.67,4997,50.3,0,0,35.48,59.63,0,65.1,13.7,162.9,0,0,0,103.96,0,0,0,0,437.5
TAMIL_NADU,1969,0,2517.7,16.7,782,482.2,138.51,0,885.94,0,10.23,1.84,122.249,0,121.16,0,281.27,421.97,0,0,0
RAJASTHAN,1969,1239,119,780,1135,4329,51,0,203,467,5.5,1276,23.41,0,428,183,234,24,0,0,0
UTTAR_PRADESH,1969,5091.058,4212.95,1481.799,728.091,1021.665,1379.287,153.927,332.646,1438.957,0,2185.384,516.353,0,103.9467101,192.3952904,0,1107.007,0,0,11.324
ANDHRA_PRADESH,1969,17.7,3090.8,246,2596.9,587.8,123.24,0,1367.59,0,200.16,80.2,237.366,0,234.06,0,321.54,1356.68,0,0,0
BIHAR,1969,1152.863,5448.433,949.213,0,0,167.838,102.007,3.464,262.449,13.899,238.904,171.265,175.936,35.682,87.074,0,0,0,0,138.034
PUNJAB,1969,2179.563,354.136,503,4.921,213.851,146.315,9.561,173.4,69.8,0.093,355.092,31.834,0,10.535,89.8,406.708,40.77,0,0,0
HARYANA,1969,995.848,235.091,139.1,201.113,865.06,162.607,5.5,25.377,140.7,0.958,1003.4,27.914,0,2.207,118.2,180.653,104.07,0,0,0
KARNATAKA,1969,341.7,1152.1,83.5,2288,577.8,111.21,0,962.49,0,41.83,171.09,401.276,0,0,0,1071.3,313.05,0,0,0
MADHYA_PRADESH,1969,3343.7,4324.4,571.8,2295.9,230.5,67.38,28.759,406.54,146.964,2.82,1537.5,486.501,0,346.5,0,676.49,1320.9,0,0,0
GUJARAT,1969,430.6,471.3,262.6,1346.9,2019.6,47.5,0,1656.9,6.6,96.4,53.5,316.667,0,118.8,39.1,1737.7,91.3,0,0,0
ORISSA,1969,15.047,4360.728,70.186,16.91,2.4,38.842,26.189,71.203,0,12.241,20.473,47.533,155.332,122.061,62.205,0.329,0,0,0,46.016
MAHARASHTRA,1969,846.5,1323,46,5529.3,2122.8,222.1,0,898.8,214.6,12.1,346.4,758.134,0,152.2,0,2804.5,628.4,0,0,0
MAHARASHTRA,1970,812,1351.2,45.6,5703,2038.7,203.9,0,904,190.4,11.6,310.3,758.134,0,123.7,0,2750.3,627.1,0,0,0
GUJARAT,1970,647.4,512.3,264,1293.2,2111,38.8,0,1777.6,7.1,80.6,73,316.667,0,136.7,50.4,1745.3,92.2,0,0,0
ANDHRA_PRADESH,1970,16.7,3136.8,255,2558.7,577.7,99.35,0,1562.68,0,215.32,73.12,237.366,0,234.35,0,315.94,1355.16,0,0,0
PUNJAB,1970,2217,383,510,5,209.217,114.786,9.683,160.292,56.642,0.118,340.029,31.834,0,10.412,100.4,394.7,42.07,0,0,0
TAMIL_NADU,1970,0,2635.7,14.9,742.3,474.9,113.92,0,985.1,0,10.72,4.35,122.249,0,132.7,0,296.02,487.23,0,0,0
MADHYA_PRADESH,1970,3399.2,4352.6,581.2,2163.5,220.9,60.62,28.759,463.67,146.964,2.29,1616.4,486.501,0,350,0,684.31,1352.8,0,0,0
HARYANA,1970,1100,263,156,179.1,808.2,154,6,23.8,104,0.602,985,27.914,0,2.605,126.6,182.2,96.67,0,0,0
UTTAR_PRADESH,1970,5527.624,4287.865,1497.675,734.243,1120.916,1345.194,156.466,349.009,1284.992,0,2086.122,516.353,0,113.7337373,224.1232627,0,1060.62,0,0,13.193
BIHAR,1970,1229.982,5177.23,990.826,0,0,162.091,100.943,4.162,253.728,13.607,244.356,150.196,177.353,32.344,87.074,0,0,0,0,141.844
WEST_BENGAL,1970,195.34,4875.3,51,0,0,31.04,64.79,0,61.6,9.7,155.1,0,0,0,108.21,0,0,0,0,407.1
KARNATAKA,1970,343.6,1170.2,97.2,2224.4,562,103.81,0,1026.76,0,38.33,162.74,401.276,0,0,0,1141.87,303.57,0,0,0
ORISSA,1970,14.252,4341.711,71.991,17.402,2.985,30.184,25.026,70.674,0,14.886,21.459,51.199,156.443,120.864,64.185,0.336,0,0,0,44.349
RAJASTHAN,1970,1482,117,758,1177,5135,38,0,213,524,3.3,1617,23.41,0,500,254,225,25,0,0,0
ORISSA,1971,18.751,4485.085,83.713,19.016,3.872,30.61,23.804,75.915,0,13.31,22.034,50.604,151.055,86.401,57.632,0.275,0,0,0,50.76
PUNJAB,1971,2259,444,510,3.9,146.823,96.3,11.372,162.392,43.383,0.095,327.962,31.834,0,14.423,125.7,470.2,36.23,0,0,0
GUJARAT,1971,524.7,516.2,265.7,1095.7,1810.9,41.9,0,1990.5,5.5,87.8,66.6,316.667,0,118.1,57.2,2204.4,91.8,0,0,0
MADHYA_PRADESH,1971,3661.4,4494.6,587.2,1950.9,196.8,51.96,28.759,488.67,146.964,2.42,1682.4,486.501,0,306.6,0,698.43,1326.2,0,0,0
KARNATAKA,1971,360.5,1169.6,96.6,2349.7,542.2,103.88,0,1025.34,0,34.36,167.03,401.276,0,0,0,1124.86,279.56,0,0,0
TAMIL_NADU,1971,0,2689.9,15.7,717.9,448.6,116.55,0,1118.54,0,10.77,3.52,122.249,0,133.37,0,338.22,583.39,0,0,0
MAHARASHTRA,1971,978.3,1338.2,37.9,6068,1312.3,193.5,0,834.8,184.3,11.8,433.5,758.134,0,117.5,0,2528.8,504.2,0,0,0
BIHAR,1971,1397.366,5234.242,823.507,0,0,141.861,97.239,4.873,236.69,12.537,241.254,95.225,135.923,34.542,85.073,0,0,0,0,131.13
ANDHRA_PRADESH,1971,20.9,2691.5,270.2,2521.1,521,99.68,0,1640.17,0,234.84,66.07,237.366,0,248.56,0,334.1,1257,0,0,0
RAJASTHAN,1971,1502,133,763,923,5040,28,0,236,449,5.6,1642,23.41,0,622,383,334,34,0,0,0
WEST_BENGAL,1971,253.52,4886.3,45,0,0,23.92,72.3,0,80.6,12.1,134.7,0,0,0,107,0,0,0,0,459.3
UTTAR_PRADESH,1971,5746.776,4574.685,1512.588,620.703,948.874,1274.139,172.563,327.781,1265.118,0,1988.56,516.353,0,97.7900344,283.3189646,0,1056.649,0,0,15.593
HARYANA,1971,1154,285,149,174.2,803.14,112,6.3,20.2,85,0.655,1076,27.914,0,2.459,158.1,227.1,85.98,0,0,0
ANDHRA_PRADESH,1972,19.6,2580.9,286,2834.7,505.1,110.53,0,1409.21,0,218.63,72.51,237.366,0,208.09,0,297.15,1252.98,0,0,0
PUNJAB,1972,2343,468,494,4.5,146.046,97,14,148.374,44.127,0.194,242.917,31.834,0,14.334,128,501.5,45.04,0,0,0
UTTAR_PRADESH,1972,5821.692,4198.994,1477.409,729.844,1085.621,1337.065,166.134,304.35,1224.856,0,1920.431,516.353,0,99.6032252,244.8287745,0,858.361,0,0,14.115
HARYANA,1972,1224.1,286.1,149,196.666,1114.433,118.6,6.4,17.689,127.957,0.945,854,27.914,0,3.811,188.3,240,85.9,0,0,0
RAJASTHAN,1972,1390,136,802,978,5235,34,0,259,437,6.6,1204,23.41,0,455,294,343,36,0,0,0
WEST_BENGAL,1972,263.49,4951.7,46.9,0,0,20.59,75.4,0,62.2,13,116.4,0,0,0,95.45,0,0,0,0,366.44
MADHYA_PRADESH,1972,3270.4,4516.2,615.2,2212.3,222.9,51.94,28.759,434.02,146.964,2.33,1621.8,486.501,0,281.8,0,678.31,1391.8,0,0,0
BIHAR,1972,2507.976,4715.475,807.375,0,0,134.341,104.991,4.191,218.505,13.276,261.602,134.551,144.904,24.315,84.069,0,0,0,0,131.433
MAHARASHTRA,1972,709.6,1330.7,34.7,5442.5,1429.4,205.5,0,817.2,189.7,9.5,259,758.134,0,133.2,0,2543.4,501.2,0,0,0
TAMIL_NADU,1972,0,2850.6,15.7,679.7,428,143.94,0,1072.29,0,13.94,8.43,122.249,0,117.55,0,302.48,642.25,0,0,0
ORISSA,1972,51.462,4475.84,66.501,18.778,3.888,30.648,6.934,90.715,0,14.965,20.906,50.78,149.231,81.328,66.892,0.363,0,0,0,42.293
GUJARAT,1972,375.4,487.4,272.2,1111.7,1933.6,45.7,0,1948.7,5.8,96.2,30,316.667,0,104.6,62.5,2147.7,92.8,0,0,0
KARNATAKA,1972,334.9,1119.5,109.2,2462,395.3,103.3,0,905.53,0,33.18,137.03,401.276,0,0,0,1030.57,232.81,0,0,0
GUJARAT,1973,537.8,443.4,285.3,1203.1,2148.7,57.2,0,1704.7,9.5,81,73.3,316.667,0,118.6,85.1,1990.7,101.8,0,0,0
TAMIL_NADU,1973,0,2716.3,19.2,641.1,404.9,186.23,0,1136.02,0,12.61,11.46,122.249,0,130.76,0,299.47,651.6,0,0,0
HARYANA,1973,1135.2,286.3,151,159.8,861.4,145,9.5,17.013,145,0.496,914,27.914,0,9.989,150.728,239.54,77.3,0,0,0
ORISSA,1973,62.937,4733.51,118.617,22.332,4.066,40.97,5.436,93.504,0,15.991,27.867,53.966,236.111,93.598,72.331,0.924,0,0,0,57.315
MAHARASHTRA,1973,935.2,1350,52,6087.6,2214.5,214.5,0,758.4,204,12.1,350.6,758.134,0,149.4,0,2347.7,623.9,0,0,0
PUNJAB,1973,2275,512,486,2.584,135.311,101,18.5,143.099,87.158,0.058,267,31.834,0,17.922,133.062,513.8,53.467,0,0,0
MADHYA_PRADESH,1973,3266.5,4509.8,614.1,2019.9,218.3,45.03,28.759,438.47,146.964,2.41,1848.2,486.501,0,301.25,0,594.18,1432.5,0,0,0
RAJASTHAN,1973,1684.5,133,838,1115,5727,40,0,243,591,4.2,1501,23.41,0,476,374,302,31,0,0,0
WEST_BENGAL,1973,217.99,5091.6,43.2,0,0,23.25,80.26,0,66.1,14,94.2,0,0,0,122.59,0,0,0,0,428.5
KARNATAKA,1973,340.9,1140.4,132,2315.8,610.9,113.24,0,928.37,0,37.76,155.29,401.276,0,0,0,1071.35,313.86,0,0,0
UTTAR_PRADESH,1973,5740.913,4249.179,1472.498,703.952,1062.796,1472.728,181.468,352.792,1217.69,0,1955.868,516.353,0,102.1342737,259.3107266,0,979.421,0,0,8.599
BIHAR,1973,1485.089,5124.455,988.384,0,0,197.208,107.183,5.03,199.703,13.243,264.473,117.072,167.71,25.576,92.611,0,0,0,0,144.043
ANDHRA_PRADESH,1973,21.7,3027.8,280.2,2733.5,581.6,142.08,0,1378.85,0,239.09,58.38,237.366,0,229.03,0,441.52,1323.56,0,0,0
ORISSA,1974,54.607,4432.01,96.863,24.364,4.926,44,5.85,103.444,0,15.427,27.14,56.215,191.13,104.295,84.877,2.286,0,0,0,47.014
MADHYA_PRADESH,1974,2780.5,4491.6,645.6,2090.3,179.8,67.23,28.759,446.85,146.964,1.84,1837.5,486.501,0,300.2,0,608.32,1362.6,0,0,0
PUNJAB,1974,2154,562,469,2.913,182.338,109,26.5,152.404,153,0.058,207,31.834,0,19.336,144,545.4,42.494,0,0,0
RAJASTHAN,1974,1409,128.7,756,796,4220,50,0,300,701,3.3,1422,23.41,0,399,429,268,23,0,0,0
GUJARAT,1974,366.2,396.6,298.7,1028.4,1528.7,53.1,0,1607.4,10.3,57.8,38.6,316.667,0,97.2,100,1745.9,105.4,0,0,0
BIHAR,1974,1477.839,5228.253,880.746,0,0,140.288,114.326,5.102,192.219,9.143,248.191,107.022,161.569,24.654,91.292,0,0,0,0,95.322
ANDHRA_PRADESH,1974,24.3,3178.3,295.4,2520.8,575.6,162.08,0,1464.71,0,162.69,67.05,237.366,0,218.75,0,413.32,1354.59,0,0,0
WEST_BENGAL,1974,277.14,5325.5,46.4,0,0,28.5,85.95,0,50.1,11.9,77,0,0,0,110.65,0,0,0,0,351.219
HARYANA,1974,1083.5,270.4,155,141.5,833.6,166,15.9,21.227,215,0.455,647,27.914,0,6.615,183.3,228.7,70.358,0,0,0
TAMIL_NADU,1974,0,2238.2,17.8,675.5,372.4,160.42,0,988.16,0,6.07,12.82,122.249,0,89.92,0,249.37,451.39,0,0,0
UTTAR_PRADESH,1974,5695.293,4265.101,1350.774,674.381,999.179,1563.256,198.579,414.912,1157.942,0,1706.449,516.353,0,113.2942368,358.5017645,0,715.438,0,0,9.427
KARNATAKA,1974,345.8,1113.5,134.9,2145.7,655.2,124.86,0,1000.03,0,35.51,166.59,401.276,0,0,0,1115.78,288.29,0,0,0
MAHARASHTRA,1974,947.7,1356.1,52.3,6022.9,1843.8,247.5,0,796.3,206,10.4,408,758.134,0,173.9,0,2496.5,613.9,0,0,0
WEST_BENGAL,1975,333.25,5358.2,52.8,0,0,27.07,85.59,0,48.1,12.3,99.4,0,0,0,95.4,0,0,0,0,317.538
ANDHRA_PRADESH,1975,26.5,3484.1,303.5,2387.7,620.7,146.26,0,1325.64,0,143.53,87.04,237.366,0,124.59,0,259.81,1338.62,0,0,0
RAJASTHAN,1975,1761.4,154.1,685.4,702.4,3605.7,40.1,0,279.6,801.1,5.7,1950.2,23.41,0,366.3,252.2,308.6,48,0,0,0
MADHYA_PRADESH,1975,3351.8,4551,638.3,1967.2,197,80.94,28.759,490,146.964,2.54,1914.4,486.501,0,258.5,0,633.06,1590.1,0,0,0
GUJARAT,1975,603.7,463.9,311.5,1236.3,1864.5,48.2,0,1774.5,16.3,90.7,85.7,316.667,0,127.6,103.6,1859.6,127.5,0,0,0
TAMIL_NADU,1975,1.7,2576.8,35.2,816.8,449.7,128.2,0,934.6,0,9.4,7.6,122.249,0,97.6,0,297.1,461.2,0,0,0
UTTAR_PRADESH,1975,5757.298,4265.101,1426.087,670.642,1030.703,1543.256,193.889,414.912,1182.032,0,1713.097,516.353,0,62.203,313.587,0,715.438,0,0,7.804
ORISSA,1975,62.937,4684.1,118.617,23.571,5.815,45.355,6.975,109.021,0,16.744,30.669,57.641,236.111,119.372,95.031,3.5,0,0,0,37.806
HARYANA,1975,1184.5,284.4,171,148.8,848.1,148.7,11.4,22.035,160,0.668,879,27.914,0,6.716,107.002,233.8,70.358,0,0,0
KARNATAKA,1975,406.1,1170.7,151.2,1944.8,705,136.81,0,928.7,0,34.71,178.82,401.276,0,109.79,0,1034.94,1294.34,0,0,0
BIHAR,1975,1815.283,5258.496,840.794,0,0,133.676,142.456,7.095,175.803,11.042,245.107,104.996,182.506,25.055,102.038,0,0,0,0,90.318
PUNJAB,1975,2381,569,520,3.185,155.624,102,25.8,157.442,95.157,0.062,307,31.834,0,19.942,102,578.5,42.494,0,0,0
MAHARASHTRA,1975,1169.2,1412.9,59.9,6064.2,1807.5,267.8,0,854.4,210.3,11.1,446.3,758.134,0,151,0,2306.9,675.5,0,0,0
UTTAR_PRADESH,1976,6339.3,4537.7,1404.1,720.6,1032,1411.873,174.645,388.523,1030.736,11.153,1476.323,516.353,0,52.437,270.95,21.707,858.0000059,0,0,7.501
BIHAR,1976,1913,5240,792,0,0,136,159.908,6.634,160,15.688,235,92.879,189.238,25.039,90.31,0,0,0,0,114.152
ORISSA,1976,55.449,4379.53,124.236,33.367,6.218,45.183,6.557,104.727,0,14.767,28.327,44.404,254.739,112.139,66.472,4.5,0,0,0,46.501
HARYANA,1976,1240.8,312.6,119.2,159.4,852.9,105,5.4,9.3,78,0,511,27.914,0,2,68,121,41.1000002,0,0,0
ANDHRA_PRADESH,1976,22.6,3247.6,294,2035.4,561.6,155.16,0,1046.91,0,172,76.96,237.366,0,97.57,0,290.17,1204.42,0,0,0
KARNATAKA,1976,366.1,972.3,141.3,1860.7,664.9,143.42,0,837.5,0,36.22,160.1,401.276,0,87.7,0,876.27,1133.62,0,0,0
GUJARAT,1976,601.4,474,304.4,1106.4,1456.7,66.3,0,2076.6,12.9,124.5,85.4,316.667,0,125.9,98.9,1855.6,130.1,0,0,0
MADHYA_PRADESH,1976,3134.9,4599.2,668.5,1875.5,193.1,86.14,28.759,518.8,146.964,3.01,1994.4,486.501,0,257.9,0,603.2,1660.6,0,0,0
MAHARASHTRA,1976,1168.9,1461.6,59.6,6282.8,1729.6,298,0,904.8,208,13.3,420.8,758.134,0,160.2,0,2162.2,638.3,0,0,0
WEST_BENGAL,1976,317.09,5138,46.7,0,0,25.89,90.12,0,37.4,14.8,98.2,0,0,0,72.19,0,0,0,0,418.006
TAMIL_NADU,1976,1.4,2304.9,19.5,841.7,456.1,154.3,0,890,0,18.8,12.1,122.249,0,112.1,0,239.7,532.9,0,0,0
PUNJAB,1976,2567.3,672.2,494.4,3.49,154.2,99,25,152,47,0.03,285,31.834,0,14.2,56,394,65.9000004,0,0,0
RAJASTHAN,1976,1793.1,159,762.8,836.7,3608.7,44.2,0,234,592.9,9.2,1775.4,23.41,0,378.2,233.3,288.9,41.3,0,0,0
GUJARAT,1977,559.8,512.4,289.1,1098.1,1417.9,81.5,0,2051.5,14.4,125.7,69.7,316.667,0,109,107.6,1969.6,141.8,0,0,0
ORISSA,1977,67.555,4404.6,129.643,34.716,7.097,43,6.928,119.355,0,16.564,33.272,57.565,277.189,140.553,109.661,6,0,0,0,48.7
ANDHRA_PRADESH,1977,21.7,3248.8,304.2,2299.9,567.3,169.97,0,1093.56,0,271.17,62.78,237.366,0,145.45,0,414.87,1174.81,0,0,0
TAMIL_NADU,1977,1.5,2782.3,26.7,750.8,437.3,167.4,0,926.1,0,11.3,7.4,122.249,0,132,0,324.6,584.1,0,0,0
PUNJAB,1977,2557,844,408,3.4,106,101,34,131,36,0.02,285,31.834,0,9.3,112,439,65.9000004,0,0,0
RAJASTHAN,1977,1804.2,183.3,749.2,713.2,4074.2,61,0,243.7,470.3,3.6,1864.2,23.41,0,363.2,345.6,370.1,33.2,0,0,0
MADHYA_PRADESH,1977,3545.9,4701.9,691.4,1936.6,165.8,56.11,28.759,438.7,146.964,2.51,1776.6,486.501,0,248.9,0,680.47,1547.1,0,0,0
HARYANA,1977,1249.5,349.4,111.4,155.9,799.2,125,5.7,7.9,76,0,533,27.914,0,2.2,118,135,41.1000002,0,0,0
MAHARASHTRA,1977,1176.4,1479.2,58.4,6365.6,1643.1,319.5,0,863.9,211.5,14.5,424.3,758.134,0,163.8,0,2265.8,644.6,0,0,0
BIHAR,1977,1726,5589,892,0,0,140,143,6.634,144,14.034,228,92.879,182.312,20.95,90.31,0,0,0,0,150.424
KARNATAKA,1977,379.7,1104.3,172.8,2012.9,717,159.03,0,886.9,0,42.04,167.57,401.276,0,117.75,0,1039.23,1250.47,0,0,0
WEST_BENGAL,1977,295.49,5380.6,39.2,0,0,27.64,94.79,0,36.9,14.7,89.1,0,0,0,97.06,0,0,0,0,425.4
UTTAR_PRADESH,1977,6423.7,4747.8,1238.6,666.5,988.7,1580.053,193.141,328.794,1361.089,9.711,1639.816,516.353,0,52.089,344.33,25.058,812.0000014,0,0,8.026
HARYANA,1978,1360.7,425.6,86.7,136.5,781.5,124,9.7,8.9,72,0,492,27.914,0,1.3,79,149,41.1000002,0,0,0
RAJASTHAN,1978,1989.4,210.6,807.8,807.6,4530.6,59.3,0,381.8,406.6,2.9,1745.9,23.41,0,422.3,315.8,402.4,44.6,0,0,0
UTTAR_PRADESH,1978,7038.4,4944.3,1173.2,670,920.7,1589.106,268.472,324.456,1014.65,8.804,1618.562,516.353,0,43.841,334.242,29.493,874.0000027,0,0,11.257
WEST_BENGAL,1978,293.52,4992.8,46.7,0,0,24.92,126.58,0,34.4,13.2,100,0,0,0,110.01,0,0,0,0,479.2
MAHARASHTRA,1978,1144.2,1494.7,62.7,6392.6,1598.2,311.7,0,801.8,209.3,10.9,433,758.134,0,160.2,0,2402.4,663.4,0,0,0
TAMIL_NADU,1978,1.8,2756.3,33.8,695.5,408.5,154.4,0,983.4,0,12.6,9.4,122.249,0,132.6,0,347.4,603.8,0,0,0
ANDHRA_PRADESH,1978,23.2,3547.1,314.1,2338.5,566.8,140.83,0,1267.04,0,178.55,56.93,237.366,0,157.85,0,384.71,1336.67,0,0,0
KARNATAKA,1978,395.2,1112.2,165.7,1985.9,686.7,154.64,0,884.6,0,49.85,163.7,401.276,0,116.85,0,1054.63,1283.99,0,0,0
GUJARAT,1978,619.5,459.8,293.7,1007.8,1459.3,57.9,0,2021.9,6.9,74.6,67.2,316.667,0,101.7,104.5,1758.8,131.5,0,0,0
BIHAR,1978,1805,5576,889,0,0,132,145,6.514,135,11.111,217,88.826,182.709,23.057,88.094,0,0,0,0,165.074
MADHYA_PRADESH,1978,3770.2,4790.5,692.1,1853.3,176.5,62.2,28.759,408.3,146.964,1.23,1735.7,486.501,0,231.7,0,671.94,1584.6,0,0,0
ORISSA,1978,61.54,4353.98,130.882,32.988,8.206,44.993,8.196,143.877,0,19.606,44.624,69.953,277.308,162.516,161.983,6.58,0,0,0,49.277
PUNJAB,1978,2657,1037,384,3.2,95,93,50.2,119,32,0.04,282,31.834,0,10,74,448,65.9000004,0,0,0
TAMIL_NADU,1979,0,2906.4,23.2,721.1,449.9,149.4000019,0,733.8999849,0,12.9000006,8.7999997,122.249,0,123.5999996,0,280.3000052,530.9999868,0,0,0
MAHARASHTRA,1979,1164,1484.3,71.5,6825,1429.1,222.0000037,0,723.2000014,8.7,12.1999996,452.9999974,758.134,0,205.2999982,0,2587.799971,1550.000012,0,0,0
BIHAR,1979,1699,5100,829,0,0,119,128,4.366,116,10.847,185,84.755,163.17,18.599,83.359,0,0,0,0,156.878
PUNJAB,1979,2724,1150,353,3.1,46,64,39.3,85,38,0.051,183,31.834,0,10.4,82,446,65.9000004,0,0,0
HARYANA,1979,1353.3,463.9,75.3,127.1,733.9,83,6.7,6,51,0,271,27.914,0,0.7,66,162,41.1000002,0,0,0
GUJARAT,1979,492.7,458.2,305.2,946.5,1256.5,56.9000007,0,1971.300002,27.259022,114.6999991,55.3000004,316.667,0,92.8999993,108.1000005,1716.599983,322.9999974,0,0,0
MADHYA_PRADESH,1979,3071,4738.9,741.2,2125.9,173.5,51.3999997,28.759,319.6999954,146.964,1.2000003,2174.000006,486.501,0,242.2000013,0,614.0000013,2236.99999,0,0,0
WEST_BENGAL,1979,325.48,4872.4,46.7,0,0,14.6,108.34,0,30.7,12.6,104.3,0,0,0,115.56,0,0,0,0,445.81
KARNATAKA,1979,374.7,1081.9,166.6,1965.1,602.8,135.3000008,0,800.600014,0,2.2,178.7000017,401.276,0,114.899997,0,1114.300033,1034.999989,0,0,0
ANDHRA_PRADESH,1979,18,3105,288,2377,454,99.0238177,0,1095.685024,0,154.1981871,63.2222625,237.366,0,154.788841,0,408.5150517,1104.188937,0,0,0
UTTAR_PRADESH,1979,7211.5,4808.2,1226.5,712.1,1145.8,1344.5,233.746,246.303,748.097,10.085,1532.2,516.353,0,45.271,225.31,39.55,844.9999955,0,0,10.279
RAJASTHAN,1979,2059,185.3,850.4,1074.2,5034.5,33.8000004,0,292.1999926,423.0000001,3.1000005,1378.000011,23.41,0,317.900004,348.9999958,392.0999986,1626.000009,0,0,0
ORISSA,1979,51.816,4116.561,134.511,24.054,8.324,46.5,7.599,174.572,0,18.331,40.813,76.378,269.997,180.981,144.586,5.015,0,0,0,45.664
ANDHRA_PRADESH,1980,15,3179,319,2048,514,115.4115623,0,1074.598887,0,152.2212931,45.544,237.366,0,168.1814031,0,419.1128505,1156.440728,0,1.497,0
PUNJAB,1980,2739,1161,346,2.9,68.5,61,36.4,81,59,0.053,203,31.834,0,15.5,111,467,65.9000004,0,0,0
ORISSA,1980,66.991,4190.71,178.904,36.635,9.45,48.6,8.082,172.405,0,21.164,50.049,81.818,336.385,159.656,163.503,4.015,0,0,1.321,43.776
KARNATAKA,1980,321.5,1114.2,171.8,1990.5,561.07,156.4999976,0,680.799992,0,2.9,143.4999947,401.276,0,118.3999995,0,956.2000156,1006.00002,0,32.044,0
TAMIL_NADU,1980,1,2299.5,20.3,592.1,328.2,183.0000003,0,565.6999964,0,14.4999996,11.0999998,122.249,0,100.800002,0,225.4999983,455.0000039,0,4.44,0
MAHARASHTRA,1980,1079.6,1502.8,72.9,6437.9,1706.2,255.499997,0,711.7999967,8.7,12.1999996,429,758.134,0,191.4000004,0,2667.100034,1668.999992,0,63,0
UTTAR_PRADESH,1980,7787,5040.8,1272.5,680.1,982.8,1316.413,257.073,190.422,733.227,14.981,1470.087,516.353,0,44.345,406.159,39.273,844.000004,0,6.067,10.423
RAJASTHAN,1980,1632.2,170.4,899.4,1003.3,5034.7,29.4999996,0,212.1000093,410.0000032,3.4,1224.99999,23.41,0,427.7000062,362.5,357.0000007,1886.999988,0,0.419,0
MADHYA_PRADESH,1980,3357.5,4829,769.3,2340,198.4,39.0999995,28.759,296.1999998,146.964,2.0000003,1807,486.501,0,250.0000029,0,594.5999969,2247.000007,0,0,0
HARYANA,1980,1418,436,72,127.4,797,67,6.2,6,77,0,310,27.914,0,0.7,66,172,41.1000002,0,0,0
WEST_BENGAL,1980,283,5178.1,52.5,0,0,14.31,115.59,0,34.7,19,96.4,0,0,0,131.04,0,0,0,2.201,540.4
BIHAR,1980,1756,5574,881,0,0,109,133,4.375,118,0,193,92.075,177.363,19.741,81.194,0,0,0,0.572,154.47
GUJARAT,1980,656.1,477.5,307.6,905.9,1380,74.9000011,0,1974.500011,28.306522,121.5000063,74.0999996,316.667,0,91.4999983,119.2000019,1572.200024,302.0000044,0,0,0
MADHYA_PRADESH,1981,3297.8,4811,778.7,2245.5,173.5,42.5999996,28.759,300.3999979,146.964,1.2999998,2029.000003,486.501,0,270.4000035,0,613.5999956,2294.000015,0,0,0
RAJASTHAN,1981,1768.3,140,918.6,968.9,4943.9,37.1000006,0,160.9999997,450.0000058,3,1934.999966,23.41,0,425.0999907,651.199999,379.700003,1819.000016,9.841,0.597,0
PUNJAB,1981,2841,1249,303,2.4,61,94,32.2,88,63,0.028,204,31.834,0,17.1,111,497,65.9000004,0,0,0
GUJARAT,1981,563.3,498.9,312.1,938.1,1433.3,84.3000009,0,2041.100002,28.196522,112.9999957,104.4000004,316.667,0,105.2000004,179.7000024,1530.699996,346.0000009,0,0,0
BIHAR,1981,1641,5383,862,0,0,136.054,165,5.354,104,12.119,181,85.354,167.195,18.332,83.6395,0,0,0,0.967,141.737
ORISSA,1981,66.049,4159.71,152.562,34.461,8.299,48.253,9.461,223.228,0,19.604,42.828,103.602,288.891,185.451,162.886,5.706,0,0,1.05,53.574
