STATENAM,YEAR,sum(QWHEAT),sum(QRICE),sum(QMAIZE),sum(QJOWAR),sum(QBAJRA),sum(QSUGAR),sum(QPOTATO),sum(QGNUT),sum(QBARLEY),sum(QTOBAC),sum(QGRAM),sum(QTUR),sum(QRAGI),sum(QSESAMUM),sum(QRMSEED),sum(QCOTTON),sum(QOPULS),sum(QSOY),sum(QSUNFLWR),sum(QJUTE)
PUNJAB,1971,5479,909,812,1.8359999999999999,171.862,377,146.898,172.813,52.059,0.23700000000000002,267.21000000000004,34.733000000000004,0.0,5.844999999999999,81.3,173.682,17.18,0.0,0.0,0.0
GUJARAT,1971,808.2,559.6,425.5999999999999,447.0999999999999,1320.2000000000003,247.8,0.0,1744.8999999999999,52.30000000000001,120.1,38.1,206.86499999999998,0.0,39.599999999999994,23.8,454.79999999999995,43.300000000000004,0.0,0.0,0.0
MADHYA_PRADESH,1971,3188.6,3697.7000000000003,482.70000000000005,1240.8,123.69999999999995,143.8,337.668,293.89999999999986,138.63099999999997,0.0,1147.8000000000002,417.363,0.0,39.1,0.0,66.09,644.5000000000001,0.0,0.0,0.0
KARNATAKA,1971,205.6,2103.5,242.89999999999998,1469.6999999999998,169.89999999999998,918.0700000000002,0.0,764.3300000000003,0.0,22.52,69.96999999999997,181.318,0.0,0.0,0.0,104.94,149.35,0.0,0.0,0.0
TAMIL_NADU,1971,0.0,5302,14.9,464.20000000000005,272.9,1035.71,0.0,1253.12,0.0,16.060000000000002,2.16,77.932,0.0,42.89,0.0,76.02,194.71999999999997,0.0,0.0,0.0
MAHARASHTRA,1971,495.5,1393.1,22.999999999999996,1881.4,263.1,1428.6999999999998,0.0,504.5,148.8,5.4,131,436.29999999999995,0.0,17.9,0.0,217.70000000000002,227.69999999999996,0.0,0.0,0.0
BIHAR,1971,2093.7349999999997,4422.449999999999,132.549,0.0,0.0,446.60900000000004,985.4259999999998,5.501999999999999,155.91400000000002,12.356,170.306,59.36,53.088,14.863,48.198,0.0,0.0,0.0,0.0,84.72995999999999
ANDHRA_PRADESH,1971,10.699999999999998,4036.300000000001,292.80000000000007,1134.3,227.60000000000002,975.1700000000001,0.0,1301.72,0.0,189.87000000000003,24.779999999999998,67.234,0.0,34.21000000000001,0.0,29.610000000000003,347.43999999999994,0.0,0.0,0.0
RAJASTHAN,1971,1889,159,751,253,1363,120.30000000000001,0.0,159,575,3.100000000000001,885,7.410999999999999,0.0,81,123,70.70000000000002,20,0.0,0.0,0.0
WEST_BENGAL,1971,340.2862,4965.083,37.111999999999995,0.0,0.0,113.3116,1055.126,0.0,60.205,8.524999999999999,90.42,0.0,0.0,0.0,34.810399999999994,0.0,0.0,0.0,0.0,624.4379999999999
UTTAR_PRADESH,1971,7277.490999999998,3650.3430000000003,1055.5220000000002,272.59700000000004,539.4090000000001,4935.399700000001,1654.7909999999997,183.652,1317.5489999999995,0.0,1566.4860000000003,762.109,0.0,18.8198114,104.52318850000005,0.0,747.3340000000002,0.0,0.0,23.12478
HARYANA,1971,2351,522,178,39.638,567.09,496,94.39999999999999,17.200000000000003,108,0.591,620,27.958,0.0,0.804,87.7,76.10058000000001,37.45,0.0,0.0,0.0
ANDHRA_PRADESH,1972,9.699999999999998,3562.9000000000005,291.3,1224.8000000000004,179.3,872.5199999999999,0.0,991.3599999999999,0.0,149.44000000000003,18.49000000000001,67.234,0.0,25.759999999999998,0.0,20.250000000000004,273.30000000000007,0.0,0.0,0.0
PUNJAB,1972,5274,942,822,2.704,143.56799999999998,458,185.4,145.93099999999998,45.209,0.42600000000000005,202.14600000000002,34.733000000000004,0.0,5.047999999999999,77.03,182.394,19.93,0.0,0.0,0.0
UTTAR_PRADESH,1972,7181.076000000001,3117.1850000000004,1354.0610000000001,523.962,719.4899999999998,5672.722700000003,1577.793,283.794,1233.491,0.0,1461.1510000000003,762.109,0.0,20.961133500000003,122.1468673,0.0,529.1419999999999,0.0,0.0,22.761000000000003
HARYANA,1972,2139.304,459.343,167,59.843,489.52699999999993,522.2189999999999,102,12.488999999999999,138.47899999999998,0.738,473.02000000000004,27.958,0.0,1.2239999999999998,88.99999999999999,72.918,33.24,0.0,0.0,0.0
RAJASTHAN,1972,1753,80,663,308,864,134.20000000000002,0.0,126,489,2.9000000000000004,808,7.410999999999999,0.0,27,210,51.80000000000001,13,0.0,0.0,0.0
WEST_BENGAL,1972,316.6019,5310.0380000000005,39.176,0.0,0.0,87.9272,946.435,0.0,35.55599999999999,9.769,66.604,0.0,0.0,0.0,42.650000000000006,0.0,0.0,0.0,0.0,488.214
MADHYA_PRADESH,1972,2282,3140.9000000000005,614.2000000000003,1743.4999999999995,144.7,137.3,337.668,291.8,138.63099999999997,1.0999999999999999,1107.6999999999998,417.363,0.0,61.800000000000004,0.0,59.2,663.1999999999999,0.0,0.0,0.0
BIHAR,1972,2634.993000000001,4464.499000000001,719.008,0.0,0.0,475.18499999999995,778.551,3.4229999999999996,120.40400000000001,5.363000000000001,133.62199999999999,126.602,62.55099999999999,7.015999999999999,43.601,0.0,0.0,0.0,0.0,123.75162
MAHARASHTRA,1972,250.59999999999997,755.8,16.299999999999997,1313.7,225.69999999999996,1449,0.0,207.6,81.2,4.2,48.599999999999994,436.29999999999995,0.0,24.4,0.0,188.69999999999996,180.20000000000005,0.0,0.0,0.0
TAMIL_NADU,1972,0.0,5569.2,16.4,523.3,256.9,1211.26,0.0,1035.0900000000001,0.0,20.740000000000002,5.0699999999999985,77.932,0.0,37.16,0.0,58.849999999999994,192.12999999999997,0.0,0.0,0.0
ORISSA,1972,131.702,3983.12,54.897000000000006,11.176,1.468,191.13899999999998,35.87,105.457,0.0,12.051000000000002,11.276,25.327999999999996,139.35000000000002,38.392999999999994,30.038000000000004,0.6699999999999999,0.0,0.0,0.0,41.5584
GUJARAT,1972,555.4,256.3,274.3,238.10000000000005,848.2,209.39999999999998,0.0,378.6000000000001,18.6,117.99999999999997,25.300000000000004,206.86499999999998,0.0,24.7,23.8,292.7,35.5,0.0,0.0,0.0
KARNATAKA,1972,112.6,1931.3999999999999,219.69999999999993,1241.1999999999994,137.3,902.64,0.0,441.31,0.0,17.52,16.139999999999997,181.318,0.0,0.0,0.0,109.32000000000001,91.17,0.0,0.0,0.0
GUJARAT,1973,836.0000000000001,472.2000000000001,212.10000000000002,529.5,1487.1999999999996,304.5,0.0,1341.1999999999998,45.3,116,66.49999999999999,206.86499999999998,0.0,35.1,41.8,312.6,41.4,0.0,0.0,0.0
TAMIL_NADU,1973,0.0,5558.200000000001,19.4,575.7,340.5,1818.2900000000002,0.0,1207.9,0.0,18.62,6.959999999999999,77.932,0.0,38.37999999999999,0.0,80.69,197.82999999999998,0.0,0.0,0.0
HARYANA,1973,1761.016,536.998,170,48.843,513.063,598.629,156.2,12.193,133,0.396,402.82,27.958,0.0,3.1290000000000004,47.646,76.71600000000001,31.138,0.0,0.0,0.0
ORISSA,1973,82.75599999999999,4404.360000000001,68.81200000000001,16.688,1.367,240.63299999999998,41.53800000000001,137.708,0.0,12.965000000000002,14.083,26.983000000000004,576.858,47.02700000000001,34.50600000000001,1.0979999999999999,0.0,0.0,0.0,72.20214000000001
MAHARASHTRA,1973,546.9000000000001,1634.9,42.300000000000004,2819.3,849.9000000000001,1543.5000000000002,0.0,565.6999999999999,197.3,5.5,128.7,436.29999999999995,0.0,27.8,0.0,188.10000000000002,322.3,0.0,0.0,0.0
PUNJAB,1973,4679,1172,668,1.459,120.307,529,258.2,143.06900000000002,75.886,0.11300000000000002,262,34.733000000000004,0.0,5.837999999999998,98.235,196.77599999999998,26.829,0.0,0.0,0.0
MADHYA_PRADESH,1973,2537.100000000001,3606.9,439.9,1173.6,212.30000000000004,151.3,337.668,210.29999999999998,138.63099999999997,1.2,1056.3,417.363,0.0,56.199999999999996,0.0,30.209999999999997,511.20000000000005,0.0,0.0,0.0
RAJASTHAN,1973,1791,118,344,390,2187,183.8,0.0,141,596,3.2000000000000006,715,7.410999999999999,0.0,59,111,51.10000000000001,14,0.0,0.0,0.0
WEST_BENGAL,1973,291.5414,5456.226,44.50000000000001,0.0,0.0,112.32899999999998,964.769,0.0,47.10199999999999,10.363,54.00100000000001,0.0,0.0,0.0,44.39890000000001,0.0,0.0,0.0,0.0,661.1400000000001
KARNATAKA,1973,208,2158.7999999999997,324.49999999999994,2041.8000000000004,341.4,938.95,0.0,694.5600000000001,0.0,25.57,74.02000000000002,181.318,0.0,0.0,0.0,127.36,164.60999999999999,0.0,0.0,0.0
UTTAR_PRADESH,1973,5629.879,3704.2509999999997,1087.3950000000004,471.954,561.487,6077.247500000001,1695.4389999999999,286.397,1120.7679999999996,0.0,1044.1220000000003,762.109,0.0,21.302135099999997,126.06386280000002,0.0,509.33099999999996,0.0,0.0,13.773959999999999
