STATENAM,YEAR,YWHEAT,YRICE,YMAIZE,YJOWAR,YBAJRA,YSUGAR,YPOTATO,YGNUT,YBARLEY,YTOBAC,YGRAM,YTUR,YRAGI,YSESAMUM,YRMSEED,YCOTTON,YOPULS,YSOY,YSUNFLWR,YJUTE
ANDHRA_PRADESH,1958,4.156948,22.2187187,17.1817044,11.0803487,8.5463083,141.3052163,0,15.9030779,0,12.7046759,6.565429,5.5729438,0,3.7299929,0,1.0688587,3.751863,0,0,0
WEST_BENGAL,1958,10.3283761,14.7698082,7.24,0,0,69.2030215,108.5238203,0,8.1260867,4.15,6.7634413,0,0,0,6.3743778,0,0,0,0,17.9963313
GUJARAT,1958,13.3245634,15.109954,12.9205841,5.5369501,7.274928,70.0038956,0,16.2161854,8.794872,7.3631628,8.3104525,9.9368122,0,3.2552414,2.8499417,2.1157784,5.6420523,0,0,0
TAMIL_NADU,1958,0,17.2169022,9.8875291,9.1309483,5.8058354,64.7870091,0,12.9474279,0,11.7637782,6.1857143,6.762278,0,3.398059,0,1.7558919,3.2658161,0,0,0
UTTAR_PRADESH,1958,37.0833334,37.806581,25.0161575,31.4929586,29.8924084,125.7343302,355.1998154,38.5772021,35.9401863,0,30.036647,68.3192428,0,13.6906081,30.6265573,0,43.8009346,0,0,42.9704164
KARNATAKA,1958,3.4876466,25.0453819,2.3833333,8.064376,4.4559807,102.3952218,0,16.9485428,0,12.264774,5.5075917,8.314695,0,0,0,1.3097264,3.6209389,0,0,0
MADHYA_PRADESH,1958,29.7630087,31.2504196,43.9724012,30.6313744,11.8206889,112.8804841,503.2833334,25.0949619,34.5042713,20.4166667,23.767176,35.2489299,0,8.2728085,0,2.1151085,23.388781,0,0,0
RAJASTHAN,1958,22.7190293,10.4100583,20.1315436,7.0012277,6.4346458,31.4141955,0,10.0643049,27.3661898,13.2936507,13.5862137,6.6023424,0,4.8196483,5.3261212,2.164725,5.3135042,0,0,0
PUNJAB,1958,10.3785376,9.8287665,9.5171993,2.8035425,3.9557619,34.7499429,147.370634,38.6225875,8.8478036,10.186012,9.6748742,9.0109894,0,6.960189,8.7895686,1.8437563,4.4679079,0,0,0
ORISSA,1958,7.0056659,7.033175,5.7473788,3.6711741,4.0503363,44.7534254,44.3950204,10.1592065,0,9.2061081,5.5453504,6.5016098,5.5255697,2.7304708,4.6625656,2.9940017,0,0,0,10.5694945
MAHARASHTRA,1958,10.9119867,19.3356513,0,12.7621005,4.9560382,101.0146606,0,11.8965174,9.0053319,6.9580753,7.4167992,14.0514708,0,5.9339367,0,2.1724991,15.3333391,0,0,0
RAJASTHAN,1959,23.5323516,12.6584984,17.7797282,6.4963596,6.5347143,34.4445518,0,10.182192,30.9142236,9.0545455,10.7794572,6.6023424,0,2.2648721,4.0458203,1.4754075,4.9705201,0,0,0
HARYANA,1959,5.2387445,5.7821895,6.0996337,1.1876276,2.7743139,16.9333656,66.410821,74.8811653,4.2536951,7.1443651,3.1167623,5.8048724,0,1.8730409,2.4580165,1.1012928,2.3962739,0,0,0
MADHYA_PRADESH,1959,30.259926,30.3154147,32.3609283,34.1441849,12.4220501,115.4588691,503.2833334,20.7962154,34.5042713,18.5357143,24.9930426,35.2489299,0,4.7275014,0,1.5915583,19.121298,0,0,0
BIHAR,1959,8.450042,13.4272089,18.3682729,0,0,59.9222587,78.7426435,0,7.1270306,10.2071514,6.1087972,8.7133675,9.6008799,5.382081,5.5410612,0,0,0,0,10.1668905
UTTAR_PRADESH,1959,40.5656612,29.3537058,41.2676738,25.6370772,26.3600685,122.2963408,358.2266862,51.8605872,36.1979024,0,25.5813774,68.3192428,0,12.675253,17.0023541,0,43.0165706,0,0,42.4678428
WEST_BENGAL,1959,9.6517265,14.3461052,8.13,0,0,57.4818551,124.7554398,0,5.7299329,6.07,6.0037528,0,0,0,3.4038476,0,0,0,0,18.5246604
ANDHRA_PRADESH,1959,3.4648684,22.6654194,9.8585873,10.6858898,8.2715393,135.0567313,0,14.4440726,0,13.215585,5.8421667,5.5729438,0,3.4402938,0,0.8845262,3.7526583,0,0,0
GUJARAT,1959,10.5080791,14.4688217,5.2647836,4.8315021,3.4238796,71.9192408,0,8.8837607,5.563889,6.777353,6.6393635,9.9368122,0,2.981604,1.8632072,1.9213123,5.2378672,0,0,0
ORISSA,1959,7.5289405,11.0992941,5.6295932,3.7847296,6.0880118,43.2785183,40.3072898,10.7361804,0,8.4161403,6.524277,5.4673497,4.8878164,2.761648,4.9229479,3.5697587,0,0,0,11.6577286
TAMIL_NADU,1959,0,18.2936501,8.3986926,9.1415343,5.9823926,60.5917203,0,14.23204,0,11.0777232,4.9720252,6.762278,0,3.4491636,0,1.8163316,3.2993264,0,0,0
MAHARASHTRA,1959,9.4369826,19.4794612,0,11.4992571,5.1391855,98.9595096,0,14.0252377,9.6770258,8.9618827,7.7409047,14.0514708,0,4.9565236,0,2.0288139,13.5261893,0,0,0
PUNJAB,1959,9.8988273,10.8859277,12.9803655,2.7780861,5.2913285,35.8302899,153.318265,12.9435283,8.8967188,20.8498404,8.3385442,9.0109894,0,3.8052422,7.5782518,2.2808167,4.4367409,0,0,0
KARNATAKA,1959,3.5016833,26.8598622,2.8446969,7.1095887,3.1217627,127.5142125,0,17.9370616,0,12.3387844,5.5823014,8.314695,0,0,0,1.0957749,6.2971655,0,0,0
PUNJAB,1960,12.0580483,10.146299,11.4058324,3.2871761,4.4822422,36.7106103,160.9457835,16.9933091,8.5164246,34.6938748,8.5282633,9.0109894,0,3.6284037,5.4701592,2.2988769,4.6824038,0,0,0
