STATENAM,YEAR,QWHEAT,QRICE,QMAIZE,QJOWAR,QBAJRA,QSUGAR,QPOTATO,QGNUT,QBARLEY,QTOBAC,QGRAM,QTUR,QRAGI,QSESAMUM,QRMSEED,QCOTTON,QOPULS,QSOY,QSUNFLWR,QJUTE
ORISSA,1958,4.036,2144.167,9.181,3.76,0.806,74.524,35.214,15.062,0,2.928,5.159,7.401,29.74,19.375,12.006,1.998,0,0,0,32.38362
MAHARASHTRA,1958,409.7,1353.7,0,3203.6,461.5,888.6,0,668.5,158.6,10.5,132.6,436.3,0,32,0,220,350.6,0,0,0
RAJASTHAN,1959,1048.3,116,521.2,320.3,967.3,60.4,0,54.4,638.6,3.7,775.2,7.411,0,67,56.2,26.2,8,0,0,0
HARYANA,1959,603.228,150.322,126.091,53.038,233.488,419.094,46.636,6.382,91.547,1.017,856.327,27.958,0,0.82,57.001,22.28238,48.974,0,0,0
MADHYA_PRADESH,1959,2312.8,3206.9,307.3,1158.4,91.5,107.6,337.668,233.05,138.631,2.5,1020.7,417.363,0,47.5,0,42.81,436.14,0,0,0
BIHAR,1959,354.488,3889.31,930.837,0,0,675.07,476.33,0,192.39,15.015,242.846,111.064,124.301,9.122,27.208,0,0,0,0,154.27674
UTTAR_PRADESH,1959,3132.544,2258.375,1024.936,591.196,619.161,3274.987,840.387,181.332,1419.782,0,1510.333,762.109,0,13.509,45.443,0,1342.587,0,0,16.76466
WEST_BENGAL,1959,31.8587896,4239.31511,47.27,0,0,130.3536,669.5575781,0,27.4892934,10.935,129.0852903,0,0,0,27.3475738,0,0,0,0,352.02276
ANDHRA_PRADESH,1959,4.8,3403.9,100,1467.3,315.1,637.32,0,746.07,0,101.61,26.43,67.234,0,32.18,0,17.52,239.82,0,0,0
GUJARAT,1959,344.6,474.9,95.6,285.1,262.6,96.4,0,941.8,67.1,58.1,77.9,206.865,0,17.4,24,125.5,38.2,0,0,0
ORISSA,1959,4.08,3717.156,9.114,3.775,1.499,70.271,27.098,19.172,0,3.169,4.579,6.96,29.123,18.18,12.791,1.862,0,0,0,33.14052
TAMIL_NADU,1959,0,3333,11,631,312,364.54,0,999.04,0,23.83,0.9,77.932,0,37.43,0,69.63,115.42,0,0,0
MAHARASHTRA,1959,391,1253.5,0,2835.4,489.3,963.1,0,739.3,153.9,16.2,137.6,436.3,0,24.1,0,123.4,283.3,0,0,0
PUNJAB,1959,1497.584,243.602,419.731,2.762,66.348,430.657,119.285,46.713,69.904,0.789,796.888,34.733,0,4.135,41.235,114.43122,36.273,0,0,0
KARNATAKA,1959,64.3,1401.1,9.9,1167.8,107.2,441.11,0,562.49,0,23.46,42.61,181.318,0,0,0,67.54,112.97,0,0,0
PUNJAB,1960,1787.864,235.256,373.501,7.533,72.953,492.072,119.794,58.945,54.666,0.877,781.063,34.733,0,3.058,58.335,122.7861,37.492,0,0,0
ORISSA,1960,4.245,3728.731,9.161,3.577,1.737,74.375,28.758,19.212,0,3.266,5.815,6.411,28.748,19.3,18.751,2.27,0,0,0,34.26714
UTTAR_PRADESH,1960,3783.493,2944.838,620.584,495.241,429.049,5451.695,774.423,175.418,1621.256,0,1831.263,762.109,0,6.256,58.631,0,1100.414,0,0,16.7175
HARYANA,1960,777.642,179.288,112.68,47.348,211.846,519.811,47.752,6.934,80.471,0.916,1183.495,27.958,0,0.684,76.103,19.7235,46.84,0,0,0
RAJASTHAN,1960,1011.8,64.6,647.7,296.8,743.8,96.4,0,0,557.3,4.8,949.5,7.411,0,0,74.2,26.2,7.5,0,0,0
ANDHRA_PRADESH,1960,4,3186.3,154.5,1345.8,296.3,701.47,0,686.12,0,102.22,24.25,67.234,0,29.41,0,20.86,245.58,0,0,0
WEST_BENGAL,1960,25.8840949,5455.08644,35.639,0,0,205.7042,582.8135898,0,19.4376266,14.089,111.2486855,0,0,0,34.7903103,0,0,0,0,360.44154
MADHYA_PRADESH,1960,1951.1,3479.1,533.7,1476.5,114.5,135.7,337.668,275.05,138.631,2.2,860.2,417.363,0,34.92,0,80.68,531.48,0,0,0
GUJARAT,1960,268.2,301.8,267.5,219,472.9,129.8,0,1213.6,62,62.8,25.4,206.865,0,16.8,11.7,232.9,37.6,0,0,0
TAMIL_NADU,1960,0,3559.2,7.5,631.4,301.5,631.13,0,1056.98,0,29.22,0.73,77.932,0,41.78,0,67.29,114.37,0,0,0
MAHARASHTRA,1960,394.8,1343.8,0,4156.8,480.9,1137.9,0,787.3,167.6,12.1,132,436.3,0,27.9,0,284.5,460.9,0,0,0
KARNATAKA,1960,77,1328.3,12.1,1154.7,128.7,518.44,0,448.44,0,23.19,55.36,181.318,0,0,0,68.84,91.63,0,0,0
BIHAR,1960,442.582,4588.524,820.396,0,0,703.762,571.22,0,203.858,11.827,324.075,110.461,104.667,6.031,31.895,0,0,0,0,154.29078
HARYANA,1961,848.242,210.464,107.598,48.87,242.226,502.941,43.995,7.253,88.905,1.017,954.579,27.958,0,0.819,109.733,23.45364,55.07,0,0,0
PUNJAB,1961,1810.828,235.955,452.042,7.334,99.167,378.96,99.166,61.904,65.026,0.853,749.438,34.733,0,4.781,56.636,146.06964,41.252,0,0,0
