STATENAM,YEAR,avg(PRICE),avg(PMAIZE),avg(PJOWAR),avg(PBAJRA),avg(PSUGAR),avg(PPOTATO),avg(PGNUT),avg(PGNUT),avg(PBARLEY),avg(PTOBAC),avg(PGRAM),avg(PTUR),avg(PRAGI),avg(PSESAMUM),avg(PRMSEED),avg(PCOTTON),avg(POPULS),avg(PSOY),avg(PSUNFLWR),avg(PJUTE)
TAMIL_NADU,1961,57.925000000000004,34.525,36.00833333333333,35.050000000000004,36.337500000000006,44.636158000000016,53.11666666666667,53.11666666666667,26.71203600000001,183.7508333333333,48.54916666666668,48.54916666666668,35.050000000000004,94.97749999999998,69.17800999999999,100.395,40.67983391666667,0.0,0.0,0.0
GUJARAT,1961,42.18333333333332,30.19444444444444,39.30555555555556,43.32222222222222,37.97777777777777,28.45354300000001,62.099999999999994,62.099999999999994,25.666666666666668,109.38888888888893,45.15555555555556,45.15555555555556,43.32222222222222,104.74444444444444,75,117.80555555555556,65.69999999999999,0.0,0.0,0.0
UTTAR_PRADESH,1961,26.099999999999998,31.13689583333334,30.460833333333337,36.76770833333333,43.68979166666668,22.072437500000007,46.74993750000001,46.74993750000001,28.12314583333333,93.85381999999994,33.38220833333334,33.38220833333334,36.76770833333333,99.22633333333334,73.07935416666666,79.35912000000005,33.38220833333334,0.0,0.0,59.680416666666694
ORISSA,1961,44.839999999999996,27.723076923076924,33.205384615384624,36.93076923076923,41.63384615384616,46.29076923076923,53.24692307692309,53.24692307692309,0.0,237.86153846153846,39.578461538461525,38.812999999999995,32.40461538461538,87.90384615384616,72.11692307692307,101.02769230769232,38.812999999999995,0.0,0.0,114.49
BIHAR,1961,31.310588235294116,34.89164705882353,0.0,0.0,47.52294117647058,22.472470588235293,51.600000000000016,51.600000000000016,32.4595294117647,356.59847058823533,41.04129411764706,39.763,28.111705882352943,80.92076470588236,75.96229411764706,0.0,39.763,0.0,0.0,59.612352941176475
MAHARASHTRA,1961,38.91199999999999,33.972,37.26,42.4,42.56400000000001,45.49351500000001,62.176000000000016,62.176000000000016,40.80800000000001,270.75199999999995,45.45199999999999,45.45199999999999,42.4,99.40000000000002,86.45911400000001,101.928,61.488,0.0,0.0,0.0
KARNATAKA,1961,72.85263157894738,37.73684210526316,40.75263157894737,39.99473684210526,63.921052631578945,40.938805,63.21999999999999,63.21999999999999,26.71203600000001,323.32789473684215,51.94894736842105,51.94894736842105,39.99473684210526,89.29910999999998,75.42064000000002,119.71157894736844,52.387368421052635,0.0,0.0,0.0
BIHAR,1962,34.53,33.28529411764707,0.0,0.0,51.969411764705875,23.68847058823529,53.95000000000002,53.95000000000002,33.023529411764706,276.5966470588235,42.63411764705882,45.06999999999999,27.77158823529411,74.15129411764705,83.32164705882353,0.0,45.06999999999999,0.0,0.0,38.201764705882354
TAMIL_NADU,1962,53.65,34.225,34.416666666666664,34.175000000000004,67.79333333333334,45.720000000000006,53.03333333333333,53.03333333333333,25.37,189.15083333333334,47.8125,47.8125,34.175000000000004,88.67583333333333,64.03999999999999,116.44500000000001,43.12961283333334,0.0,0.0,0.0
MADHYA_PRADESH,1962,45.28372093023258,27.216279069767445,29.774418604651178,33.009302325581416,55.29325581395348,27.160000000000004,53.62441860465116,53.62441860465116,25.369999999999997,325.6886046511626,33.53906976744186,33.53906976744186,33.009302325581416,79.73372093023256,64.03999999999998,103.08441860465115,47.71678427906976,0.0,0.0,0.0
ORISSA,1962,42.50461538461539,28.195384615384622,32.626153846153855,33.784615384615385,50.99384615384616,25.37461538461539,54.065384615384616,54.065384615384616,0.0,277.7692307692308,39.50076923076922,45.344,30.28323076923077,77.08615384615385,69.73461538461538,109.54153846153847,45.344,0.0,0.0,70.26
WEST_BENGAL,1962,67.78733333333334,31.396006,0.0,0.0,60.211999999999996,25.970666666666666,0.0,0.0,30.926666666666666,264.55933,44.95,0.0,0.0,0.0,80.4,0.0,0.0,0.0,0.0,67.68800000000002
UTTAR_PRADESH,1962,25.846875000000015,31.175000000000015,27.78291666666668,33.407500000000006,43.63062499999999,17.244583333333335,38.46708333333334,38.46708333333334,27.426666666666666,119.1199999999999,36.29312500000001,36.29312500000001,33.407500000000006,90.51291666666663,73.25000000000004,86.73,36.29312500000001,0.0,0.0,43.97166666666669
ANDHRA_PRADESH,1962,58.1578947368421,29.668421052631583,35.08421052631579,35.15789473684211,38.96000000000001,31.05,53.44157894736841,53.44157894736841,25.37,211.42684210526318,46.91315789473684,46.91315789473684,35.15789473684211,71.67736842105263,64.03999999999999,117.20263157894742,43.137369789473674,0.0,0.0,0.0
KARNATAKA,1962,82.21052631578948,35.96315789473684,39.584210526315786,36.76315789473685,59.942105263157885,46.74,68.36526315789474,68.36526315789474,25.37,305.4447368421053,56.92526315789475,56.92526315789475,36.76315789473685,88.85999999999996,53.92999999999998,127.80421052631577,55.47421052631579,0.0,0.0,0.0
HARYANA,1962,33.025,30.820000000000004,30.273333333333337,34.2,64.02833333333334,28.924166666666665,58.975,58.975,30.073333333333334,209.43000000000004,37.305,37.305,34.2,90.62666666666667,73.72583333333334,91.11333333333333,37.305,0.0,0.0,0.0
MAHARASHTRA,1962,39.37999999999999,33.432,39.804,43.81199999999999,57.732000000000006,48.039999999999985,63.584,63.584,37.403999999999996,210.82800000000003,43.948,43.948,43.81199999999999,102.10000000000004,88.17000000000002,115.46399999999996,62.05999999999999,0.0,0.0,0.0
GUJARAT,1962,43.194444444444436,32.105555555555554,38.29444444444445,44.105555555555554,63.916666666666664,26.35000000000001,58.48888888888889,58.48888888888889,33.8,96.01666666666664,43.57222222222222,43.57222222222222,44.105555555555554,94.59444444444445,79.19999999999999,108.64444444444445,61.44444444444444,0.0,0.0,0.0
